,map@10,ndcg@10,recall@10
0,0.137903921,0.1823189607,0.3284768212
1,0.0900998633,0.1276550708,0.2516556291
2,0.074147351,0.1070427605,0.2162251656
3,0.0593160675,0.087058948,0.1798013245
4,0.0519064701,0.0773146282,0.1619205298
5,0.045364107,0.0673252032,0.140397351
6,0.0324126196,0.0505279774,0.1112582781
7,0.0300382371,0.0441088516,0.0910596026
8,0.0245209187,0.0365889614,0.0774834437
9,0.0197575686,0.0311714145,0.0695364238
