,map@10,ndcg@10,recall@10
0,0.1700883151,0.1936847545,0.2683004318
1,0.1058364857,0.1387917653,0.2429563736
2,0.0769779609,0.1106357698,0.2194174477
3,0.0610726589,0.0934580921,0.2002397216
4,0.0499964069,0.0796953847,0.1791268936
5,0.0411097805,0.067721088,0.1577974497
6,0.0339560008,0.0566282182,0.1339263795
7,0.0287279994,0.0480737899,0.1143298627
8,0.0241559889,0.0404630648,0.0963796266
9,0.0200971631,0.0336049908,0.0799023784
