,map@10,ndcg@10,recall@10
0,0.1951268189,0.2409497143,0.3897641775
1,0.1085188608,0.1529027299,0.2981645414
2,0.0716325227,0.1087022439,0.2319522867
3,0.052817462,0.083124491,0.1851054919
4,0.0416610163,0.0657622992,0.1473276821
5,0.0333141817,0.0527673513,0.1187488267
6,0.0271247497,0.0429998296,0.0968850636
7,0.0227014648,0.0358300068,0.0804078155
8,0.0191122199,0.0299520898,0.0667321328
9,0.016219991,0.0253839236,0.0564356579
